id,title,desc,href,img,category
001,딱 붙이면 끝나는 블라인드~ #집꾸미기 #블라인드 #인테리어꿀템,"햇빛이 째~라게 들어와 눈부셔도 걱정 없쥬? 무타공 설치로 구멍 안 뚫고, 그냥 착 붙이면 끝!",https://link.coupang.com/a/cRrVOr,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2Fb6f4zb%2FbtsQDbDvG3Q%2FAAAAAAAAAAAAAAAAAAAAAKyRO0L_jjDhM7zHWc9mOYrrJB_e5GdTE6zyeNzEuhV6%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DPlvqdtC4zIdIhxd6UJoR3BRDNW4%253D,인테리어
002,요리 초보도 OK! 실리만 이지웨이 멀티 실리콘 찜기 | 링크 눌러 구매 | 002번 | #찜기 #실리콘 #요리,실리만 이지웨이 실리콘 찜기 멀티 WSK7011은 플래티넘 실리콘 100%로 만들어 냄새 걱정 적고 전자레인지·오븐·식기세척기 OK라 손쉽게 사용할 수 있어요,https://link.coupang.com/a/cRFj8y,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FlSldT%2FbtsQGsKYREJ%2FAAAAAAAAAAAAAAAAAAAAAAn6nQey1CJCyaM-5RzZQE5EoWFk_XwxhPYxLSWNXRio%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DPlwrvhndZ6DYnjdI8wXWxii%252FTWg%253D,주방기구
003,비행기에서 목 꺾이는 사람! 실버채 목베개,장거리 비행. 버스. 기차에서 목 아파본 사람 손✋실버채 기내용 여행용 목베개 하나면 끝,https://link.coupang.com/a/cRQyYj,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FPB9h3%2FbtsQGj3eZRq%2FAAAAAAAAAAAAAAAAAAAAAI7C2Z0mF9l1G21CXJUWwErvswQW5VcUnOxBELv6-Hhl%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3Dou1OKDGlV6k80VxsQfHemLIhRJs%253D,건강
004,빗기만 해도 머리가 싹 펴지는~ 댓글보면 알어유~ #고데기 #고데기하는법 #고데기추천,머리 손질할 때마다 속 터져불제유? 포뷰트 엣지 브러쉬 고데기는 그냥 빗어주기만 허믄 스트레이트에 볼륨까지 싹 잡아주니께유.,https://link.coupang.com/a/cR2w2S,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FVVN7v%2FbtsQHjofPaB%2FAAAAAAAAAAAAAAAAAAAAAF8oF74L5z-1io9eZMoYAKPH8mlO4TT0BMnQAdGZ8PZR%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3D3pglrzh9Mxg7MoBC2XJBAslRqkc%253D,가전
005,자동 아니면 손해야~ 차량용 햇빛가리 #자동차용품 #햇빛가리개 #차박필수템 #여름필수템 #차안온도30도↓ #자동차양산 #운전꿀템,여름만 되면 차 안이 사우나 같아 고생하셨쥬? 자동 차량용 햇빛가리개 하나면 버튼만 눌러도 30도 온도 뚝↓ 내려갑니다.,https://link.coupang.com/a/cR4B0E,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FbltqKD%2FbtsQJBOFdIw%2FAAAAAAAAAAAAAAAAAAAAAKYV2QRwLeLpoQhRPu4K8297IJHEvmcykPdCc2r6bPX5%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DhTEL8ztzHRPExdqtyJX6o6FSvic%253D,차량용품
006,피카부스트2 Pikaboost 2,피카부스트2 전동 부스터 키트 하나면 자전거가 전기자전거로 변신!,https://link.coupang.com/a/cSdJNY,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2Fy4Alj%2FbtsQIXLkJ5X%2FAAAAAAAAAAAAAAAAAAAAAN-VVhdNPQFwgCfnvCqB7CXjIyZEe0BHmJTKsyT4RLGh%2Fimg.png%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DboIdi2QhA2Q4EHA7vzf%252FkxeCmc4%253D,스포츠
007,접이식 그늘막 캠핑/낚시 의자,이 접이식 그늘막 의자 위에 캐노피가 딱 달려있응게 햇빛 자외선 싹 가려주유.,https://link.coupang.com/a/cSs4VM,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FbjHd9d%2FbtsQLB17maD%2FAAAAAAAAAAAAAAAAAAAAANzM9SokjP_HpAM15PQTqhOSYWQJnWJrKi86oEqgb2QQ%2Fimg.png%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DiRPtwhwLZdomNvI7oNUltlFc0II%253D,캠핑용품
008,AI 전동 보행 슈즈,그냥 신발 아니고 AI 전동 보행 슈즈 등장! 최대 속도 11km/h 충전식 전동 롤러가 자동으로 가속 🚀,https://link.coupang.com/a/cSDVPE,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FdfeMU1%2FbtsQMqtbNEj%2FAAAAAAAAAAAAAAAAAAAAAEUTZR9O1bV9p2wCRDLFRV6zxpXUMf40rwhPaTgp3bGv%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3D5Ae%252B4%252FWa%252BegPYeT7ug1vWTw49xc%253D,스포츠
009,듀얼 렌즈 헬멧,비 오는 날 / 습한 날 / 장거리 라이딩 — LS2 FF901 Advant X 6K 카본 풀 페이스 헬멧이면 김서림 걱정 없어유,https://link.coupang.com/a/cSPeWi,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FbheXAx%2FbtsQOjHpqCt%2FAAAAAAAAAAAAAAAAAAAAAD_udZwj8qwB2Sj_R9JmrQ4hLkLI-x1KsfkK6pU5i5tA%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DaGSllQcnVvECPaxkdBpTpUe%252BF8U%253D,스포츠
010,1초 설치 괴물 톱마대,Bora Portamate Speedhorse XT는 1초 설치/접이식 높이 30~36인치 조절 가능,https://link.coupang.com/a/cSQmsK,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FcIzzIv%2FbtsQM1gvNrJ%2FAAAAAAAAAAAAAAAAAAAAANJtTB2diiIToYnZ1ZkVsxqv5-w2YCZzhgWK23sIasPQ%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1759244399%26allow_ip%3D%26allow_referer%3D%26signature%3DcUZzEIm0nLH%252FZpoMldD3srtDk0c%253D,공구
